澡堂等级	金币下限	金币上限	钻石下限	钻石上限	经验下限	经验上限	体力下限	体力上限	成就点下限	成就点上限
										
key:true										
1	100	100	1	1	100	100	1	1	2	2
2	100	100	1	1	100	100	1	1	2	2
3	100	400	1	1	100	400	1	1	2	2
4	100	400	1	1	100	400	1	1	2	2
5	100	900	1	1	100	900	1	1	2	2
6	100	900	1	1	100	900	1	1	2	2
7	100	1600	1	2	100	1600	1	2	2	4
8	100	1600	1	2	100	1600	1	2	2	4
9	100	2500	1	2	100	2500	1	2	2	4
10	100	2500	1	2	100	2500	1	2	2	4
11	400	400	2	2	400	400	1	2	2	4
12	400	400	2	2	400	400	1	2	2	4
13	400	900	2	3	400	900	1	3	2	6
14	400	900	2	3	400	900	1	3	2	6
15	400	1600	2	3	400	1600	1	3	2	6
16	400	1600	2	3	400	1600	2	3	4	6
17	400	2500	2	3	400	2500	2	3	4	6
18	400	2500	2	3	400	2500	2	3	4	6
19	900	900	3	4	900	900	2	4	4	8
20	900	900	3	4	900	900	2	4	4	8
21	900	1600	3	4	900	1600	2	4	4	8
22	900	1600	3	4	900	1600	2	4	4	8
23	900	2500	3	4	900	2500	2	4	4	8
24	900	2500	3	4	900	2500	2	4	4	8
25	1600	1600	4	5	1600	1600	2	5	4	10
26	1600	1600	4	5	1600	1600	2	5	4	10
27	1600	2500	4	5	1600	2500	2	5	4	10
28	1600	2500	4	5	1600	2500	2	5	4	10
29	2500	2500	5	5	2500	2500	2	5	4	10
30	2500	2500	5	5	2500	2500	2	5	4	10
